Cam_typ	Clvt_sz	Site	Type	Cam_num	Cam_pt	Kangaroo	Whiptail	Macropod	Monitor	Cow	Fox	Possum	Hare	Rabbit	Dog	Deer	Amphibian	Snake	Dragon	Rodent	Quail	Cat	Unknown	All_animals						
swift	large	1	C	SE61	C1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5						
swift	large	1	C	SE64	C2	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	5						
swift	large	1	C	SE65	C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	large	1	C	SE66	C4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4						
swift	large	1	R	SE60	R1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3						
swift	large	1	R	SE63	R2	10	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	22						
swift	large	2	C	SE66	C1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1						
swift	large	2	C	SE49	C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	large	2	C	SE48	C3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2						
swift	large	2	C	SE62	C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1						
swift	large	2	R	SE63	R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	large	2	R	SE47	R2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0	0	14						
reconyx	small	3	C	UQ14	C1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3						
reconyx	small	3	C	UQ55	C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4						
reconyx	small	3	C	UQ83	C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	6						
reconyx	small	3	C	UQ24	C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5						
reconyx	small	3	R	UQ124	R1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	6						
reconyx	small	3	R	UQ16	R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	large	4	C	SE47	C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	large	4	C	SE58	C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	large	4	C	SE48	C3	8	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	12						
swift	large	4	C	SE51	C4	13	0	0	0	0	3	0	0	0	3	0	4	0	0	0	0	0	0	23						
swift	large	4	R	SE57	R1	6	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	9						
swift	large	4	R	SE54	R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	large	5	C	SE53	C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	large	5	C	SE59	C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	large	5	C	SE61	C3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0	0	3	13						
swift	large	5	C	SE65	C4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	4						
swift	large	5	R	SE64	R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2						
swift	large	5	R	SE51	R2	4	0	0	0	0	0	0	0	0	5	1	1	0	0	22	3	0	0	36						
reconyx	small	6	C	UQ124	C1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1						
reconyx	small	6	C	UQ83	C2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2						
reconyx	small	6	C	UQ21	C3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1						
reconyx	small	6	C	UQ24	C4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1						
reconyx	small	6	R	UQ71	R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
reconyx	small	6	R	UQ16	R2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1						
reconyx	large	7	C	UQ28	C1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1						
reconyx	large	7	C	UQ51	C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
reconyx	large	7	C	UQ11	C3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3						
reconyx	large	7	C	UQ71	C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
reconyx	large	7	R	UQ59	R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
