Cam_typ	Clvt_sz	Site	Type	Cam_num	Cam_pt	Anim_num	Species	Behaviour	Day	Month	Year	Hour	Min	Sec	Age	Sex	Img_num
swift	large	1	R	SE63	R2	1	Kangaroo	RX	13	10	2020	17	32	23	Adult	Unknown	SYER0298
swift	large	1	R	SE63	R2	2	Cow	FR	13	10	2020	18	46	33	Adult	Female	SYER0331
swift	large	1	R	SE63	R2	2	Cow	FR	13	10	2020	18	47	10	Adult	Female	SYER0334
swift	large	1	R	SE63	R2	2	Cow	FR	13	10	2020	18	47	24	Adult	Female	SYER0337
swift	large	1	R	SE63	R2	2	Cow	FR	13	10	2020	18	47	47	Adult	Female	SYER0340
swift	large	1	R	SE63	R2	2	Cow	FR	13	10	2020	18	47	47	Adult	Female	SYER0331
swift	large	1	R	SE63	R2	2	Cow	FR	13	10	2020	18	47	54	Adult	Female	SYER0343
swift	large	1	C	SE66	C4	2	Cow	CC	13	10	2020	21	30	32	Adult	Female	SYER0321
swift	large	1	R	SE63	R2	2	Cow	FR	17	10	2020	7	7	35	Adult	Female	SYER1558
swift	large	1	R	SE63	R2	2	Cow	RX	17	10	2020	7	8	33	Adult	Female	SYER1561
swift	large	1	R	SE63	R2	2	Cow	RX	17	10	2020	7	8	41	Adult	Female	SYER1564
swift	large	1	R	SE63	R2	2	Cow	FR	17	10	2020	7	9	6	Adult	Female	SYER1567
swift	large	1	R	SE63	R2	2	Cow	RX	17	10	2020	7	10	29	Adult	Female	SYER1570
swift	large	1	R	SE63	R2	2	Cow	FR	17	10	2020	7	10	38	Adult	Female	SYER1573
swift	large	1	R	SE63	R2	2	Cow	FR	17	10	2020	7	10	45	Adult	Female	SYER1576
swift	large	1	R	SE63	R2	2	Cow	FR	17	10	2020	7	10	54	Adult	Female	SYER1579
swift	large	1	R	SE63	R2	2	Cow	FR	17	10	2020	7	11	12	Adult	Female	SYER1582
swift	large	1	R	SE60	R1	2	Cow	FR	20	10	2020	8	34	47	Adult	Female	SYER0043
swift	large	1	R	SE60	R1	2	Cow	RX	20	10	2020	8	35	55	Adult	Female	SYER0046
swift	large	1	R	SE63	R2	2	Cow	FR	20	10	2020	8	36	26	Adult	Female	SYER3400
swift	large	1	R	SE60	R1	2	Cow	RX	20	10	2020	8	36	29	Adult	Female	SYER0049
swift	large	1	R	SE63	R2	2	Cow	FR	20	10	2020	8	36	38	Adult	Female	SYER3403
swift	large	1	R	SE60	R1	2	Cow	RX	20	10	2020	8	36	54	Adult	Female	SYER0052
swift	large	1	R	SE63	R2	2	Cow	FR	20	10	2020	8	36	56	Adult	Female	SYER3406
swift	large	1	R	SE63	R2	2	Cow	FR	20	10	2020	8	37	5	Adult	Female	SYER3409
swift	large	1	R	SE63	R2	2	Cow	RX	20	10	2020	8	37	17	Adult	Female	SYER3412
swift	large	1	C	SE64	C2	2	Cow	FR	20	10	2020	8	51	42	Adult	Female	SYER0410
swift	large	1	C	SE64	C2	2	Cow	FR	20	10	2020	10	10	57	Adult	Female	SYER0413
swift	large	1	C	SE61	C1	2	Cow	FR	20	10	2020	10	13	20	Adult	Female	SYER1789
swift	large	1	C	SE66	C4	2	Cow	CC	20	10	2020	10	35	44	Adult	Female	SYER5883
swift	large	1	C	SE66	C4	2	Cow	CC	20	10	2020	10	39	26	Adult	Female	SYER5886
swift	large	1	C	SE66	C4	2	Cow	CC	20	10	2020	10	39	43	Adult	Female	SYER5889
swift	large	1	C	SE66	C4	2	Cow	FR	20	10	2020	11	9	41	Adult	Female	SYER5892
swift	large	1	C	SE66	C4	2	Cow	FR	20	10	2020	11	12	5	Adult	Female	SYER5895
swift	large	1	C	SE66	C4	2	Cow	FR	20	10	2020	11	14	10	Adult	Female	SYER5898
swift	large	1	C	SE61	C1	2	Cow	FR	20	10	2020	11	19	30	Adult	Female	SYER1792
swift	large	1	C	SE64	C2	2	Cow	CC	20	10	2020	11	21	15	Adult	Female	SYER0422
swift	large	1	C	SE66	C4	2	Cow	CC	20	10	2020	11	34	20	Adult	Female	SYER5907
swift	large	1	C	SE66	C4	2	Cow	CC	20	10	2020	11	34	49	Adult	Female	SYER5910
swift	large	1	C	SE66	C4	2	Cow	FR	20	10	2020	11	35	1	Adult	Female	SYER5913
swift	large	1	C	SE66	C4	2	Cow	FR	20	10	2020	11	35	12	Adult	Female	SYER5916
swift	large	1	C	SE66	C4	2	Cow	FR	20	10	2020	11	35	33	Adult	Female	SYER5919
swift	large	1	C	SE66	C4	2	Cow	FR	20	10	2020	11	35	57	Adult	Female	SYER5922
swift	large	1	C	SE66	C4	2	Cow	FR	20	10	2020	11	36	44	Adult	Female	SYER5928
swift	large	1	C	SE66	C4	2	Cow	FR	20	10	2020	11	36	56	Adult	Female	SYER5931
swift	large	1	C	SE66	C4	2	Cow	FR	20	10	2020	11	37	5	Adult	Female	SYER5934
swift	large	1	C	SE66	C4	2	Cow	FR	20	10	2020	11	37	15	Adult	Female	SYER5937
swift	large	1	C	SE66	C4	2	Cow	FR	20	10	2020	11	37	25	Adult	Female	SYER5940
swift	large	1	C	SE66	C4	2	Cow	FR	20	10	2020	11	37	41	Adult	Female	SYER5943
swift	large	1	C	SE66	C4	2	Cow	FR	20	10	2020	11	37	51	Adult	Female	SYER5946
swift	large	1	C	SE66	C4	2	Cow	CC	20	10	2020	11	59	4	Adult	Female	SYER5952
swift	large	1	C	SE66	C4	2	Cow	CC	20	10	2020	12	7	54	Adult	Female	SYER5955
swift	large	1	C	SE66	C4	2	Cow	CC	20	10	2020	12	26	39	Adult	Female	SYER5958
swift	large	1	C	SE61	C1	2	Cow	CC	20	10	2020	12	26	45	Adult	Female	SYER1798
swift	large	1	C	SE66	C4	2	Cow	CC	20	10	2020	12	27	33	Adult	Female	SYER5961
swift	large	1	R	SE63	R2	2	Cow	FR	20	10	2020	12	32	32	Adult	Female	SYER3625
swift	large	1	R	SE63	R2	2	Cow	FR	20	10	2020	12	32	41	Adult	Female	SYER3628
swift	large	1	R	SE63	R2	2	Cow	FR	21	10	2020	17	46	29	Adult	Female	SYER4315
swift	large	1	R	SE63	R2	2	Cow	FR	21	10	2020	17	46	48	Adult	Female	SYER4318
swift	large	1	R	SE63	R2	2	Cow	FR	21	10	2020	17	47	39	Adult	Female	SYER4321
swift	large	1	R	SE63	R2	2	Cow	FR	21	10	2020	17	47	56	Adult	Female	SYER4324
swift	large	1	R	SE63	R2	2	Cow	FR	21	10	2020	17	48	27	Adult	Female	SYER4327
swift	large	1	R	SE63	R2	2	Cow	FR	21	10	2020	17	48	37	Adult	Female	SYER4330
swift	large	1	R	SE63	R2	2	Cow	FR	21	10	2020	17	58	46	Adult	Female	SYER4333
swift	large	1	R	SE63	R2	2	Cow	FR	21	10	2020	18	0	14	Adult	Female	SYER4336
swift	large	1	R	SE63	R2	2	Cow	FR	21	10	2020	18	9	23	Adult	Female	SYER4342
swift	large	1	R	SE63	R2	2	Cow	FR	21	10	2020	18	10	51	Adult	Female	SYER4345
swift	large	1	R	SE63	R2	2	Cow	RX	21	10	2020	18	11	3	Adult	Female	SYER4348
swift	large	1	R	SE63	R2	2	Cow	RX	21	10	2020	18	11	17	Adult	Female	SYER4351
swift	large	1	R	SE63	R2	2	Cow	FR	21	10	2020	18	54	24	Adult	Female	SYER4378
swift	large	1	R	SE63	R2	2	Cow	FR	21	10	2020	18	59	7	Adult	Female	SYER4390
swift	large	1	C	SE64	C2	2	Cow	CC	21	10	2020	19	10	39	Adult	Female	SYER0429
swift	large	1	C	SE66	C4	2	Cow	CC	21	10	2020	19	10	45	Adult	Female	SYER7320
swift	large	1	R	SE63	R2	2	Cow	FR	22	10	2020	16	24	47	Adult	Female	SYER4642
swift	large	1	R	SE63	R2	2	Cow	FR	22	10	2020	16	25	48	Adult	Female	SYER4645
swift	large	1	R	SE63	R2	2	Cow	FR	22	10	2020	16	26	22	Adult	Female	SYER4648
swift	large	1	R	SE63	R2	2	Cow	FR	22	10	2020	16	26	38	Adult	Female	SYER4651
swift	large	1	C	SE66	C4	2	Cow	CC	22	10	2020	16	36	32	Adult	Female	SYER7365
swift	large	1	C	SE61	C1	2	Cow	FR	22	10	2020	16	36	38	Adult	Female	SYER2242
