Suburb	Road	Rd_typ	Site	Cam_typ	Clvt_sz	Clvt_wdt	Clvt_ht	Length	Construction	Openings	Veg_cov_C1	Veg_hgt_C1_pt1	Veg_hgt_C1_pt2	Veg_hgt_C1_pt3	Veg_cov_C2	Veg_hgt_C2_pt1	Veg_hgt_C2_pt2	Veg_hgt_C2_pt3	Veg_cov_C3	Veg_hgt_C3_pt1	Veg_hgt_C3_pt2	Veg_hgt_C3_pt3	Veg_cov_C4	Veg_hgt_C4_pt1	Veg_hgt_C4_pt2	Veg_hgt_C4_pt3	Veg_cov_R1	Veg_hgt_R1_pt1	Veg_hgt_R1_pt2	Veg_hgt_R1_pt3	Veg_cov_R2	Veg_hgt_R2_pt1	Veg_hgt_R2_pt2	Veg_hgt_R2_pt3
MM	Grandchester	major	1	swift	large	3.6	1.5	8.15	rectangular	2	medium	0.1	1.5	0.5	high	0.5	2	1.5	high	2	1	0	high	0.5	1	0	medium	0	0.3	0.5	low	0	0.5	0.2
MM	Grandchester	major	2	swift	large	1.2	1.2	8.4	circular	1	low	1	0.3	0	low	0.3	0.3	0	low	0	1	0	low	0.3	0	0	low	0	1	0.3	medium	0.5	1	0.2
MM	Franklyn	minor	3	reconyx	small	0.42	0.42	7.1	circular	1	low	0.5	1	0	high	1	1.5	0	high	0.3	1.5	2	high	0.3	1.5	2	low	0.5	1.5	1	medium	1.5	0.5	0.2
MM	Grandchester	major	4	swift	large	1.22	1.18	9.65	circular	2	none	0.2	0	0	none	0.1	0.2	0	none	0.3	NA	NA	none	0.1	NA	NA	none	0.3	0.1	0.1	low	0.1	0.5	1
MM	Grandchester	major	5	swift	large	1.95	1.3	7.95	rectangular	2	medium	0.1	2	0.1	medium	0	1	0.3	high	0	1	0.5	high	1	1	1	medium	0	1	0.1	medium	0	1	0.5
MM	Grandchester	major	6	reconyx	small	0.4	0.38	10	circular	1	none	0	0	0.1	none	0	0.1	0	high	0.3	1	0	high	0.3	0.3	0.3	low	0.3	0	0.2	high	0.3	0.3	0.3
MM	Meadow	minor	7	reconyx	large	0.57	1.2	11.05	rectangular	5	low	0.2	0.1	0.3	low	0.1	0.1	0.3	low	0.5	0.1	0.3	low	0.1	0.1	0.5	none	0.1	0.1	0.3	none	0.3	0.1	0.3
MM	ForestRidge	minor	8	reconyx	small	0.91	0.91	11.1	circular	2	none	0.1	0.1	0	none	0.1	0.1	0	none	0.1	0.2	0	none	0.1	0.2	0	none	0.1	0.1	0.1	none	0.2	0.1	0.1
MM	Grandchester	major	9	reconyx	small	0.37	0.37	7.3	circular	1	none	0.1	0	0	none	0.1	0	0	low	0.3	0.2	0	low	0.3	0.2	0	none	0.3	0.1	0.2	low	2	0.3	0.2
MM	Grandchester	major	10	swift	small	0.37	0.37	9.25	circular	1	none	0.3	0.2	0	none	0.1	0.2	0	low	0	0.5	1	low	0.3	0.5	1	none	0.3	0.2	0.3	low	1	0.3	0
MM	Grandchester	major	11	swift	small	0.44	0.42	9.55	circular	1	low	0.5	0.3	1	low	0.3	0.3	1	low	1	0.2	0.3	low	0.2	0.2	0.3	low	0.3	0.2	0.3	low	0.1	0.3	0
G	Rosewood	major	12	swift	small	0.55	0.55	9.85	circular	3	none	0.1	0.1	1	none	0.1	0.1	1	high	1	0.3	1	high	1	0.3	1	none	0.1	0.1	1	low	0.5	0.5	0.1
G	Rosewood	major	13	swift	small	0.52	0.49	9.35	circular	3	low	0.1	1	0	low	0.1	1	0	low	0.1	0.5	0.5	low	0.1	0.5	0.3	none	0.1	0.1	0.1	none	0.1	0.1	0.1
