Cam_typ	Clvt_sz	Site	Type	Cam_num	Cam_pt	Anim_num	Species	Behaviour	Day	Month	Year	Hour	Min	Sec	Age	Sex	Img_num	anim_hr
swift	large	1	R	SE63	R2	1	Kangaroo	RX	13	10	2020	17	32	23	Adult	Unknown	SYER0298	1_RX_13_10_17
swift	large	1	C	SE66	C4	2	Cow	CC	13	10	2020	21	30	32	Adult	Female	SYER0321	2_CC_13_10_21
swift	large	1	C	SE66	C4	2	Cow	CC	20	10	2020	10	35	44	Adult	Female	SYER5883	2_CC_20_10_10
swift	large	1	C	SE66	C4	2	Cow	CC	20	10	2020	10	39	26	Adult	Female	SYER5886	2_CC_20_10_10
swift	large	1	C	SE66	C4	2	Cow	CC	20	10	2020	10	39	43	Adult	Female	SYER5889	2_CC_20_10_10
swift	large	1	C	SE64	C2	2	Cow	CC	20	10	2020	11	21	15	Adult	Female	SYER0422	2_CC_20_10_11
swift	large	1	C	SE66	C4	2	Cow	CC	20	10	2020	11	34	20	Adult	Female	SYER5907	2_CC_20_10_11
swift	large	1	C	SE66	C4	2	Cow	CC	20	10	2020	11	34	49	Adult	Female	SYER5910	2_CC_20_10_11
swift	large	1	C	SE66	C4	2	Cow	CC	20	10	2020	11	59	4	Adult	Female	SYER5952	2_CC_20_10_11
swift	large	1	C	SE66	C4	2	Cow	CC	20	10	2020	12	7	54	Adult	Female	SYER5955	2_CC_20_10_12
swift	large	1	C	SE66	C4	2	Cow	CC	20	10	2020	12	26	39	Adult	Female	SYER5958	2_CC_20_10_12
swift	large	1	C	SE61	C1	2	Cow	CC	20	10	2020	12	26	45	Adult	Female	SYER1798	2_CC_20_10_12
swift	large	1	C	SE66	C4	2	Cow	CC	20	10	2020	12	27	33	Adult	Female	SYER5961	2_CC_20_10_12
swift	large	1	C	SE64	C2	2	Cow	CC	21	10	2020	19	10	39	Adult	Female	SYER0429	2_CC_21_10_19
swift	large	1	C	SE66	C4	2	Cow	CC	21	10	2020	19	10	45	Adult	Female	SYER7320	2_CC_21_10_19
swift	large	1	C	SE66	C4	2	Cow	CC	22	10	2020	16	36	32	Adult	Female	SYER7365	2_CC_22_10_16
swift	large	1	C	SE64	C2	2	Cow	CC	22	10	2020	16	36	49	Adult	Female	SYER0451	2_CC_22_10_16
swift	large	1	R	SE63	R2	2	Cow	FR	13	10	2020	18	46	33	Adult	Female	SYER0331	2_FR_13_10_18
swift	large	1	R	SE63	R2	2	Cow	FR	13	10	2020	18	47	10	Adult	Female	SYER0334	2_FR_13_10_18
swift	large	1	R	SE63	R2	2	Cow	FR	13	10	2020	18	47	24	Adult	Female	SYER0337	2_FR_13_10_18
swift	large	1	R	SE63	R2	2	Cow	FR	13	10	2020	18	47	47	Adult	Female	SYER0340	2_FR_13_10_18
swift	large	1	R	SE63	R2	2	Cow	FR	13	10	2020	18	47	47	Adult	Female	SYER0331	2_FR_13_10_18
swift	large	1	R	SE63	R2	2	Cow	FR	13	10	2020	18	47	54	Adult	Female	SYER0343	2_FR_13_10_18
swift	large	1	R	SE63	R2	2	Cow	FR	17	10	2020	7	7	35	Adult	Female	SYER1558	2_FR_17_10_7
swift	large	1	R	SE63	R2	2	Cow	FR	17	10	2020	7	9	6	Adult	Female	SYER1567	2_FR_17_10_7
swift	large	1	R	SE63	R2	2	Cow	FR	17	10	2020	7	10	38	Adult	Female	SYER1573	2_FR_17_10_7
swift	large	1	R	SE63	R2	2	Cow	FR	17	10	2020	7	10	45	Adult	Female	SYER1576	2_FR_17_10_7
swift	large	1	R	SE63	R2	2	Cow	FR	17	10	2020	7	10	54	Adult	Female	SYER1579	2_FR_17_10_7
swift	large	1	R	SE63	R2	2	Cow	FR	17	10	2020	7	11	12	Adult	Female	SYER1582	2_FR_17_10_7
swift	large	1	R	SE60	R1	2	Cow	FR	20	10	2020	8	34	47	Adult	Female	SYER0043	2_FR_20_10_8
swift	large	1	R	SE63	R2	2	Cow	FR	20	10	2020	8	36	26	Adult	Female	SYER3400	2_FR_20_10_8
swift	large	1	R	SE63	R2	2	Cow	FR	20	10	2020	8	36	38	Adult	Female	SYER3403	2_FR_20_10_8
swift	large	1	R	SE63	R2	2	Cow	FR	20	10	2020	8	36	56	Adult	Female	SYER3406	2_FR_20_10_8
swift	large	1	R	SE63	R2	2	Cow	FR	20	10	2020	8	37	5	Adult	Female	SYER3409	2_FR_20_10_8
swift	large	1	C	SE64	C2	2	Cow	FR	20	10	2020	8	51	42	Adult	Female	SYER0410	2_FR_20_10_8
swift	large	1	C	SE64	C2	2	Cow	FR	20	10	2020	10	10	57	Adult	Female	SYER0413	2_FR_20_10_10
swift	large	1	C	SE61	C1	2	Cow	FR	20	10	2020	10	13	20	Adult	Female	SYER1789	2_FR_20_10_10
swift	large	1	C	SE66	C4	2	Cow	FR	20	10	2020	11	9	41	Adult	Female	SYER5892	2_FR_20_10_11
swift	large	1	C	SE66	C4	2	Cow	FR	20	10	2020	11	12	5	Adult	Female	SYER5895	2_FR_20_10_11
swift	large	1	C	SE66	C4	2	Cow	FR	20	10	2020	11	14	10	Adult	Female	SYER5898	2_FR_20_10_11
swift	large	1	C	SE61	C1	2	Cow	FR	20	10	2020	11	19	30	Adult	Female	SYER1792	2_FR_20_10_11
swift	large	1	C	SE66	C4	2	Cow	FR	20	10	2020	11	35	1	Adult	Female	SYER5913	2_FR_20_10_11
