Cam_typ	Clvt_sz	Site	Type	Cam_num	Cam_pt	Anim_num	Species	Behaviour	Day	Month	Year	Hour	Min	Sec	Age	Sex	Img_num	anim_hr	behav
swift	large	1	R	SE63	R2	1	Kangaroo	RX	13	10	2020	17	32	23	Adult	Unknown	SYER0298	1_RX_13_10_17	0
swift	large	1	C	SE66	C4	2	Cow	CC	13	10	2020	21	30	32	Adult	Female	SYER0321	2_CC_13_10_21	1
swift	large	1	C	SE66	C4	2	Cow	CC	20	10	2020	10	35	44	Adult	Female	SYER5883	2_CC_20_10_10	1
swift	large	1	C	SE66	C4	2	Cow	CC	20	10	2020	12	7	54	Adult	Female	SYER5955	2_CC_20_10_12	1
swift	large	1	C	SE64	C2	2	Cow	CC	21	10	2020	19	10	39	Adult	Female	SYER0429	2_CC_21_10_19	1
swift	large	1	C	SE66	C4	2	Cow	CC	22	10	2020	16	36	32	Adult	Female	SYER7365	2_CC_22_10_16	1
swift	large	1	R	SE63	R2	2	Cow	FR	13	10	2020	18	46	33	Adult	Female	SYER0331	2_FR_13_10_18	1
swift	large	1	R	SE63	R2	2	Cow	FR	17	10	2020	7	7	35	Adult	Female	SYER1558	2_FR_17_10_7	1
swift	large	1	R	SE60	R1	2	Cow	FR	20	10	2020	8	34	47	Adult	Female	SYER0043	2_FR_20_10_8	1
swift	large	1	C	SE64	C2	2	Cow	FR	20	10	2020	10	10	57	Adult	Female	SYER0413	2_FR_20_10_10	1
swift	large	1	R	SE63	R2	2	Cow	FR	20	10	2020	12	32	32	Adult	Female	SYER3625	2_FR_20_10_12	1
swift	large	1	R	SE63	R2	2	Cow	FR	21	10	2020	17	46	29	Adult	Female	SYER4315	2_FR_21_10_17	1
swift	large	1	R	SE63	R2	2	Cow	FR	22	10	2020	16	24	47	Adult	Female	SYER4642	2_FR_22_10_16	1
swift	large	1	R	SE63	R2	2	Cow	FR	24	10	2020	16	37	30	Adult	Female	SYER5815	2_FR_24_10_16	1
swift	large	1	R	SE63	R2	2	Cow	FR	24	10	2020	18	12	3	Adult	Female	SYER6220	2_FR_24_10_18	1
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	18	30	49	Adult	Female	SYER6223	2_FR_25_10_18	1
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	19	41	58	Adult	Female	SYER6304	2_FR_25_10_19	1
