Cam_typ	Clvt_sz	Site	Type	Cam_num	Cam_pt	Anim_num	Species	Behaviour	Day	Month	Year	Hour	Min	Sec	Age	Sex	Img_num	anim_hr	behav
swift	large	1	R	SE63	R2	1	Kangaroo	RX	13	10	2020	17	32	23	Adult	Unknown	SYER0298	1_RX_13_10_17	0
swift	large	1	C	SE66	C4	2	Cow	CC	13	10	2020	21	30	32	Adult	Female	SYER0321	2_CC_13_10_21	1
swift	large	1	C	SE66	C4	2	Cow	CC	20	10	2020	10	35	44	Adult	Female	SYER5883	2_CC_20_10_10	1
swift	large	1	C	SE66	C4	2	Cow	CC	20	10	2020	12	7	54	Adult	Female	SYER5955	2_CC_20_10_12	1
swift	large	1	C	SE64	C2	2	Cow	CC	21	10	2020	19	10	39	Adult	Female	SYER0429	2_CC_21_10_19	1
swift	large	1	C	SE66	C4	2	Cow	CC	22	10	2020	16	36	32	Adult	Female	SYER7365	2_CC_22_10_16	1
swift	large	1	R	SE63	R2	2	Cow	RX	17	10	2020	7	8	33	Adult	Female	SYER1561	2_RX_17_10_7	0
swift	large	1	R	SE60	R1	2	Cow	RX	20	10	2020	8	35	55	Adult	Female	SYER0046	2_RX_20_10_8	0
swift	large	1	R	SE63	R2	2	Cow	RX	21	10	2020	18	11	3	Adult	Female	SYER4348	2_RX_21_10_18	0
swift	large	1	R	SE63	R2	2	Cow	RX	25	10	2020	19	42	12	Adult	Female	SYER6308	2_RX_25_10_19	0
swift	large	1	R	SE63	R2	4	Kangaroo	RX	20	10	2020	8	8	13	Adult	Unknown	SYER3391	4_RX_20_10_8	0
swift	large	1	R	SE63	R2	7	Kangaroo	RX	17	10	2020	6	55	16	Adult	Unknown	SYER1555	7_RX_17_10_6	0
swift	large	1	R	SE63	R2	8	Kangaroo	RX	18	10	2020	17	33	25	Adult	Female	SYER2479	8_RX_18_10_17	0
swift	large	1	R	SE63	R2	9	Kangaroo	RX	18	10	2020	17	33	25	Adult	Unknown	SYER2479	9_RX_18_10_17	0
swift	large	1	C	SE63	R2	10	Kangaroo	RX	19	10	2020	17	37	3	Adult	Unknown	SYER3277	10_RX_19_10_17	0
swift	large	1	R	SE63	R2	11	Kangaroo	RX	21	10	2020	7	48	51	Adult	Unknown	SYER4066	11_RX_21_10_7	0
